日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/12/22,94049036,8374170934,88.0,90.5,87.5,87.7,-0.3,44931
109/12/23,56278242,5000495202,88.5,89.4,88.3,88.8,1.1,25699
109/12/24,41263965,3691307949,89.5,89.9,89.0,89.6,0.8,18937
109/12/25,114607503,10497953149,90.9,92.2,90.8,91.8,2.2,61188
109/12/28,67626965,6240713115,92.4,93.0,91.8,91.8,0.0,34315
109/12/29,46148101,4192521279,91.8,91.8,90.4,90.4,-1.4,26781
109/12/30,40526518,3687922978,91.0,91.6,90.1,91.6,1.2,20750
109/12/31,32420293,2974403637,91.5,92.0,91.1,92.0,0.4,16438
110/01/04,233726746,22587972258,93.4,100.0,93.3,99.9,7.9,115789
110/01/05,234178116,24176652664,101.0,105.0,101.0,104.0,4.1,114366
110/01/06,222119287,23465513766,107.5,109.0,102.0,105.0,1.0,114160
110/01/07,114653734,12242829524,108.0,108.0,105.5,107.0,2.0,59013
110/01/08,115547259,12431474200,109.0,109.5,106.0,108.0,1.0,61278
110/01/11,70525408,7582606654,108.0,109.0,106.5,107.5,-0.5,39544
110/01/12,106622057,11119079660,106.5,107.0,103.0,104.0,-3.5,56730
110/01/13,83561136,8856217204,105.0,107.0,105.0,106.5,2.5,40226
110/01/14,321271715,36391347707,109.0,117.0,108.0,116.0,9.5,141468
110/01/15,171273151,19817867014,118.0,119.0,113.0,115.5,-0.5,86061
110/01/18,95824657,10843315189,115.5,116.0,111.0,114.0,-1.5,52153
110/01/19,95320325,10971429720,115.0,116.5,114.0,115.0,1.0,45246
110/01/20,133839555,15534875651,116.5,118.5,114.0,114.5,-0.5,62204
110/01/21,88148629,10260813496,116.5,117.5,115.0,117.0,2.5,41785
110/01/22,222771956,26779865039,117.5,121.5,117.0,121.5,4.5,108571
110/01/25,144137047,17407181744,122.0,124.0,117.5,123.0,1.5,70532
110/01/26,129763217,15878540462,122.5,125.0,120.0,122.0,-1.0,64483
110/01/27,100937464,12345781130,124.0,124.5,122.5,123.0,1.0,41497
